titulo,preco,marca,modelo,km,ano,tipo,pot_motor,kit_gnv,cor,combustivel,portas,cambio,direcao,municipio,url
CHEVROLET HATCH LTZ 1.0 12V TB FLEX AUT. 4P 2024 - 1340808332 | OLX,R$ 94.490,CHEVROLET,CHEVROLET HATCH LTZ 1.0 12V TB FLEX AUT. 4P,44450,2024,Hatch,1.0,Não,Vermelho,Flex,4 portas,Automático,Elétrica,Mogi das Cruzes,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-2024-1-0-turbo-flex-ltz-automatico-1340808332
HYUNDAI HB20 COMFORT 1.0 FLEX 12V MEC. 2024 - 1356438867 | OLX,R$ 70.290,HYUNDAI,HYUNDAI HB20 COMFORT 1.0 FLEX 12V MEC.,47294,2024,Hatch,1.0,Não,Preto,Flex,4 portas,Manual,Elétrica,São Carlos,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-2024-1-0-12v-flex-comfort-manual-1356438867
JEEP COMPASS LONG. T270 1.3 TB 4X2 FLEX AUT 2023 - 1358630014 | OLX,R$ 140.290,JEEP,JEEP COMPASS LONG. T270 1.3 TB 4X2 FLEX AUT,46699,2023,SUV,1.3,Não,Preto,Flex,4 portas,Automático,Elétrica,São Gonçalo,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/jeep-compass-2023-1-3-t270-turbo-flex-longitude-at6-1358630014
VOLKSWAGEN POLO 1.0 TSI FLEX 12V 5P 2024 - 1360769585 | OLX,R$ 75.990,VOLKSWAGEN,VOLKSWAGEN POLO 1.0 TSI FLEX 12V 5P,50991,2024,Hatch,1.0,Não,Branco,Flex,4 portas,Manual,Elétrica,São Gonçalo,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-polo-2024-1-0-mpi-manual-1360769585
HYUNDAI HB20 COMFORT 1.0 FLEX 12V MEC. 2023 - 1361587955 | OLX,R$ 69.690,HYUNDAI,HYUNDAI HB20 COMFORT 1.0 FLEX 12V MEC.,48100,2023,Hatch,1.0,Não,Preto,Flex,4 portas,Manual,Elétrica,Mogi das Cruzes,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-2023-1-0-12v-flex-comfort-manual-1361587955
VOLKSWAGEN VOYAGE 1.6 MSI FLEX 8V 4P 2020 - 1300287424 | OLX,R$ 45.900,VOLKSWAGEN,VOLKSWAGEN VOYAGE 1.6 MSI FLEX 8V 4P,64000,2020,Sedã,1.6,Não,Branco,Flex,4 portas,Manual,Hidráulica,Rio de Janeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/vw-voyage-1-6-2020-1300287424
VOLKSWAGEN VIRTUS COMFORT. 200 TSI 1.0 FLEX 12V AUT 2021 - 1316065177 | OLX,R$ 76.900,VOLKSWAGEN,VOLKSWAGEN VIRTUS COMFORT. 200 TSI 1.0 FLEX 12V AUT,21260,2021,Sedã,1.0,Não,Cinza,Flex,4 portas,Automático,Elétrica,Rio de Janeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/vw-virtus-confortline-tsi-1-0-flex-12v-automatico-1316065177
CHEVROLET PLUS LT 1.0 12V TB FLEX MEC. 4P 2024 - 1346145614 | OLX,R$ 77.390,CHEVROLET,CHEVROLET PLUS LT 1.0 12V TB FLEX MEC. 4P,44347,2024,Hatch,1.0,Não,Cinza,Flex,4 portas,Manual,Elétrica,São Gonçalo,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-2024-1-0-flex-plus-lt-manual-1346145614
CHEVROLET PLUS LT 1.0 12V TB FLEX MEC. 4P 2024 - 1350531297 | OLX,R$ 75.790,CHEVROLET,CHEVROLET PLUS LT 1.0 12V TB FLEX MEC. 4P,48421,2024,Hatch,1.0,Não,Prata,Flex,4 portas,Manual,Elétrica,São Carlos,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-2024-1-0-flex-plus-lt-manual-1350531297
JEEP RENEGADE LONG. T270 1.3 TB 4X2 FLEX AUT. 2024 - 1355618822 | OLX,R$ 123.790,JEEP,JEEP RENEGADE LONG. T270 1.3 TB 4X2 FLEX AUT.,47407,2024,SUV,1.3,Não,Prata,Flex,4 portas,Automático,Elétrica,Mogi das Cruzes,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-2024-1-3-t270-turbo-flex-longitude-at6-1355618822
