titulo,preco,marca,modelo,km,ano,tipo,pot_motor,kit_gnv,cor,combustivel,portas,cambio,direcao,municipio,url
FIAT MOBI LIKE 1.0 FIRE FLEX 5P. 2022 - 1355041083 | OLX,R$ 48.000,FIAT,FIAT MOBI LIKE 1.0 FIRE FLEX 5P.,66000,2022,Hatch,1.0,Não,Prata,Flex,4 portas,Manual,Hidráulica,Alagoinhas,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/autos-e-pecas/carros-vans-e-utilitarios/mobi-like-2022-completo-1355041083
CHEVROLET SPIN LT 1.8 8V ECONO.FLEX 5P AUT. 2024 - 1356415339 | OLX,R$ 94.990,CHEVROLET,CHEVROLET SPIN LT 1.8 8V ECONO.FLEX 5P AUT.,99000,2024,Van/Utilitário,1.8,Não,Branco,Flex,4 portas,Automático,Hidráulica,Belford Roxo,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-spin-gm-7-lugares-1356415339
FIAT DUCATO MAXI. LONG. 2.3 T.ALTO ME DIESEL 2012 - 1359787462 | OLX,R$ 120.000,FIAT,FIAT DUCATO MAXI. LONG. 2.3 T.ALTO ME DIESEL,120000,2012,Van/Utilitário,2.0 - 2.9,Não,Branco,Diesel,3 portas,Manual,Hidráulica,Belém,https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/ambulancia-pronta-para-atender-sua-necessidade-1359787462
JEEP COMPASS LONG. TD 350 2.0 4X4 DIESEL AUT 2022 - 1355686249 | OLX,R$ 145.990,JEEP,JEEP COMPASS LONG. TD 350 2.0 4X4 DIESEL AUT,52000,2022,SUV,2.0 - 2.9,Não,Branco,Diesel,4 portas,Automático,Elétrica,Aracaju,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/jeep-compass-4x4-diesel-ano-2022-1355686249
CITROEN C4 CACTUS FEEL 1.6 16V FLEX AUT. 2023 - 1357741649 | OLX,R$ 79.900,CITROEN,CITROEN C4 CACTUS FEEL 1.6 16V FLEX AUT.,41000,2023,SUV,1.6,Não,Branco,Flex,4 portas,Automático,Elétrica,Rio de Janeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/citroen-c4-cactus-feel-1-6-2023-1357741649
LAND ROVER DISCOVERY SPORT HSE LUXURY 2.0 4X4 AUT. 2017 - 1355686256 | OLX,R$ 116.500,LAND ROVER,LAND ROVER DISCOVERY SPORT HSE LUXURY 2.0 4X4 AUT.,85000,2017,SUV,2.0 - 2.9,Não,Outra,Gasolina,4 portas,Automático,Elétrica,São Paulo,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/discovery-2017-1355686256
FIAT ABARTH 1.3 TURBO 16V FLEX AUT. 2023 - 1355686269 | OLX,R$ 129.900,FIAT,FIAT ABARTH 1.3 TURBO 16V FLEX AUT.,22800,2023,SUV,1.3,Não,Branco,Flex,4 portas,Automático,Elétrica,Curitiba,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/pulse-abarth-2023-impecavel-unico-dono-1355686269
MITSUBISHI LANCER GT 2.0 16V 160CV AUT. 2017 - 1358090546 | OLX,R$ 68.500,MITSUBISHI,MITSUBISHI LANCER GT 2.0 16V 160CV AUT.,120000,2017,Sedã,2.0 - 2.9,Não,Cinza,Gasolina,4 portas,Automático,Hidráulica,São Paulo,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/mitsubishi-lancer-gt-2017--pronto-para-rodar--impecavel--original--completo-1358090546
VOLKSWAGEN KOMBI FURGÃO 1995 - 1362196199 | OLX,R$ 12.000,VOLKSWAGEN,VOLKSWAGEN KOMBI FURGÃO,280000,1995,Van/Utilitário,1.6,Não,Branco,Gasolina,2 portas,Manual,Mecânica,Fortaleza,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/kombi-1995-1362196199
VOLKSWAGEN NIVUS HIGHLINE 1.0 200 TSI FLEX AUT 2021 - 1362196188 | OLX,R$ 109.900,VOLKSWAGEN,VOLKSWAGEN NIVUS HIGHLINE 1.0 200 TSI FLEX AUT,60600,2021,SUV,1.0,Não,Cinza,Flex,4 portas,Automático,Elétrica,Belém,https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/r-109-900-volkswagen-nivus-highline-1-0-tsi-2021-2021-60-600-km-1362196188
CHEVROLET CLASSIC LIFE/LS 1.0 VHC FLEXP. 4P 2008 - 1362196180 | OLX,R$ 19.000,CHEVROLET,CHEVROLET CLASSIC LIFE/LS 1.0 VHC FLEXP. 4P,109165,2008,Sedã,1.0,Não,Prata,Flex,4 portas,Manual,Mecânica,Pouso Alegre,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/corsa-classic-life-vhc-1-0-2008-1362196180
CITROEN C3 TENDANCE 1.5 FLEX 8V 5P MEC. 2014 - 1356086933 | OLX,R$ 39.900,CITROEN,CITROEN C3 TENDANCE 1.5 FLEX 8V 5P MEC.,110000,2014,Hatch,1.5,Não,Preto,Flex,4 portas,Manual,Elétrica,Caxias do Sul,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/citroen-c3-tendance-1-5-8v-flex-multimidia-original-teto-solar-zenith-direcao-eletrica-1356086933
HYUNDAI CRETA 2025 - 1358000057 | OLX,R$ 156.490,HYUNDAI,HYUNDAI CRETA,0,2025,,1.0,Não,Preto,Flex,4 portas,Automático,,Aparecida de Goiânia,https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/hyundai-creta-1-0-tgdi-flex-limited-automatico-1358000057
CHEVROLET TRACKER LT 1.4 TURBO 16V FLEX 4X2 AUT. 2018 - 1358642749 | OLX,R$ 83.900,CHEVROLET,CHEVROLET TRACKER LT 1.4 TURBO 16V FLEX 4X2 AUT.,79181,2018,Elétrica,,Não,Cinza,Flex,4 portas,Automático,Elétrica,Blumenau,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/tracker-chev-lt-cinza-2018-2018-1358642749
CHEVROLET PLUS LT 1.0 12V FLEX MEC. 4P 2024 - 1358672720 | OLX,R$ 79.990,CHEVROLET,CHEVROLET PLUS LT 1.0 12V FLEX MEC. 4P,46992,2024,Sedã,,Não,Branco,Flex,4 portas,Manual,Hidráulica,Bragança Paulista,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-1358672720
HONDA HR-V EX 1.8 FLEXONE 16V 5P AUT. 2018 - 1362196175 | OLX,R$ 93.900,HONDA,HONDA HR-V EX 1.8 FLEXONE 16V 5P AUT.,79000,2018,SUV,1.8,Não,Vermelho,Flex,4 portas,Automático,Elétrica,Maringá,https://pr.olx.com.br/regiao-de-maringa/autos-e-pecas/carros-vans-e-utilitarios/honda-hrv-ex-c-79-000-km-1362196175
CHEVROLET PLUS LT 1.0 12V FLEX MEC. 4P 2024 - 1353933061 | OLX,R$ 88.900,CHEVROLET,CHEVROLET PLUS LT 1.0 12V FLEX MEC. 4P,11582,2024,Elétrica,1.0,Não,Branco,Flex,4 portas,Manual,Elétrica,Curitiba,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-plus-10tmt-lt1-2024-1353933061
CHEVROLET TRACKER PREMIER 1.2 TURBO 12V FLEX AUT 2024 - 1356117211 | OLX,R$ 127.490,CHEVROLET,CHEVROLET TRACKER PREMIER 1.2 TURBO 12V FLEX AUT,51388,2024,SUV,1.2,Não,Prata,Flex,4 portas,Automático,Elétrica,Campinas,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-tracker-2024-1-2-turbo-flex-premier-automatico-1356117211
FORD RURAL 4X4 1967 - 1356719817 | OLX,R$ 120.000,FORD,FORD RURAL 4X4,34000,1967,Buggy,2.0 - 2.9,Não,Verde,Diesel,2 portas,Manual,Hidráulica,Indaial,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/jeep-trilha-willys-2-8-mwm-diesel--troller-1356719817
FIAT TORO ENDURANCE 2.0 16V 4X4 DIESEL AUT. 2022 - 1362196170 | OLX,R$ 115.500,FIAT,FIAT TORO ENDURANCE 2.0 16V 4X4 DIESEL AUT.,73397,2022,Pick-up,2.0 - 2.9,Não,Branco,Diesel,4 portas,Automático,Elétrica,Rio de Janeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-toro-endurance-2-0-16v-4x4-diesel-2022-1362196170
CHEVROLET PRISMA SED. LTZ 1.4 8V FLEXPOWER 4P 2018 - 1356718099 | OLX,R$ 60.990,CHEVROLET,CHEVROLET PRISMA SED. LTZ 1.4 8V FLEXPOWER 4P,120841,2018,Sedã,1.4,Não,Branco,Flex,4 portas,Manual,Elétrica,Brasília,https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-prisma-ltz-1-4-2018-1356718099
CHEVROLET HATCH LTZ 1.0 12V TB FLEX AUT. 4P 2023 - 1359401896 | OLX,R$ 82.490,CHEVROLET,CHEVROLET HATCH LTZ 1.0 12V TB FLEX AUT. 4P,51805,2023,Hatch,1.0,Não,Prata,Flex,4 portas,Automático,Elétrica,João Pessoa,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-2023-1-0-turbo-flex-ltz-automatico-1359401896
FORD FOCUS 2.0 16V/SE/SE PLUS FLEX 5P AUT. 2017 - 1358090600 | OLX,R$ 62.000,FORD,FORD FOCUS 2.0 16V/SE/SE PLUS FLEX 5P AUT.,63700,2017,Sedã,2.0 - 2.9,Não,Branco,Flex,4 portas,Automático,Elétrica,Cambará,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/carro-para-pessoas-exigentes-1358090600
HYUNDAI TUCSON 2.0 16V FLEX AUT. 2016 - 1334332825 | OLX,R$ 59.900,HYUNDAI,HYUNDAI TUCSON 2.0 16V FLEX AUT.,104000,2016,SUV,2.0 - 2.9,Não,Preto,Flex,4 portas,Automático,Hidráulica,Brasília,https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/tucson-automatica-2016-muito-nova-1334332825
MERCEDES-BENZ CLASSE B 200 CGI 1.6 TB SPORT 156CV AUT 2015 - 1362196131 | OLX,R$ 75.000,MERCEDES-BENZ,MERCEDES-BENZ CLASSE B 200 CGI 1.6 TB SPORT 156CV AUT,11500,2015,Hatch,1.6,Não,Preto,Gasolina,4 portas,Automático,Elétrica,Campinas,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/mercedes-benz-b200cgi-sport-1-6-turbo-1362196131
FIAT BRAVA ELX  1.6 16V 4P 2000 - 1362196132 | OLX,R$ 8.000,FIAT,FIAT BRAVA ELX  1.6 16V 4P,380000,2000,Hatch,1.6,Não,Cinza,Gasolina,4 portas,Manual,Hidráulica,Brusque,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/fiat-brava-1-6-16-1362196132
CHEVROLET RS 1.2 TURBO 12V FLEX AUT. 2024 - 1362196114 | OLX,R$ 136.000,CHEVROLET,CHEVROLET RS 1.2 TURBO 12V FLEX AUT.,38000,2024,SUV,1.2,Não,Branco,Flex,4 portas,Automático,Elétrica,Parnamirim,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/tracker-rs-2024-1362196114
FIAT PALIO 1.0 ECONOMY FIRE FLEX 8V 4P 2011 - 1362196104 | OLX,R$ 27.000,FIAT,FIAT PALIO 1.0 ECONOMY FIRE FLEX 8V 4P,160000,2011,Hatch,1.0,Não,Prata,Flex,4 portas,Manual,Mecânica,Mandaguaçu,https://pr.olx.com.br/regiao-de-maringa/autos-e-pecas/carros-vans-e-utilitarios/palio-2011-basico-1362196104
FORD ECOSPORT XLS 1.6/ 1.6 FLEX 8V 5P 2005 - 1362196074 | OLX,R$ 25.990,FORD,FORD ECOSPORT XLS 1.6/ 1.6 FLEX 8V 5P,128000,2005,Hidráulica,1.6,Não,Preto,Gasolina,4 portas,Manual,Hidráulica,Canoas,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/ford-ecosport-1-6-xls-8v-gasolina-4p-manual-1362196074
CHEVROLET CORSA WIND 1.0 MPFI / EFI  2P 1995 - 1362196043 | OLX,R$ 8.500,CHEVROLET,CHEVROLET CORSA WIND 1.0 MPFI / EFI  2P,101010,1995,Mecânica,1.0,Não,Branco,Gasolina,2 portas,,Mecânica,São Cristóvão,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/corsa-wind-95-1362196043
HONDA CIVIC SEDAN EX 1.7 16V 130CV AUT. 4P 2002 - 1362196031 | OLX,R$ 21.000,HONDA,HONDA CIVIC SEDAN EX 1.7 16V 130CV AUT. 4P,110000,2002,Sedã,1.7,Não,Azul,Gasolina,4 portas,Automático,Hidráulica,Pombos,https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/carro-honda-civic-1362196031
VOLKSWAGEN FOX CITY 1.0 MI/ 1.0MI TOTAL FLEX 8V 5P 2005 - 1362195976 | OLX,R$ 21.000,VOLKSWAGEN,VOLKSWAGEN FOX CITY 1.0 MI/ 1.0MI TOTAL FLEX 8V 5P,155000,2005,Hatch,1.0,Não,Prata,Flex,4 portas,Manual,Hidráulica,Mata de São João,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/fox-1-0-1362195976
FORD KA 1.5 SE 12V FLEX 5P AUT. 2020 - 1362195962 | OLX,R$ 54.900,FORD,FORD KA 1.5 SE 12V FLEX 5P AUT.,60000,2020,Elétrica,,Não,Branco,Flex,,Automático,Elétrica,Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-se-plus-at1-5hac-branca-2019-2020-1362195962
VOLKSWAGEN SAVEIRO ROBUST 1.6 TOTAL FLEX 16V 2022 - 1321154210 | OLX,R$ 67.900,VOLKSWAGEN,VOLKSWAGEN SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,70000,2022,Hidráulica,,Não,Branco,Flex,2 portas,Manual,Hidráulica,São José,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/saveiro-robust-1-6-total-flex-8v-branca-2021-2022-1321154210
CHEVROLET HATCH 1.0 12V TB FLEX AUT. 4P 2020 - 1355641053 | OLX,R$ 69.500,CHEVROLET,CHEVROLET HATCH 1.0 12V TB FLEX AUT. 4P,32500,2020,Hatch,1.0,Não,Preto,Flex,4 portas,Automático,Elétrica,Ribeirão Preto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/novo-onix-automatico-2020-unico-dono-32mil-km-1355641053
